indice_tiempo,total,actividades_administrativas_servicios_apoyo,agricultura_ganaderia_caza_silvicultura_pesca,comercio_por_mayor_menor_reparac_automotores_motocicletas,construccion,ensenianza,explotacion_minas_canteras,industria_manufacturera,informacion_comunicaciones,otras_sociedades_financieras,salud_humana_servicios_sociales,seguros,servicio_transporte_almacenamiento,servicios_artisticos_culturales_deportivos_esparcimiento,servicios_alojamiento_servicios_comida,servicios_asociaciones_servicios_personales,servicios_inmobiliarios,servicios_profesionales_cientificos_tecnicos,sociedades_captadoras_depositos_excepto_el_banco_central,suministr_agua_cloacs_resid_recuper_materiales_saneam_publ,suministro_electricidad_gas_vapor_aire_acondicionado
2004-07-01,55067.23867459999,1374.95556873,1293.05843823,3812.70487021999,655.31285113,2.91827023,14128.639647529999,17287.78036235,2280.45461417,6614.45181554,79.89296912,545.46302733,1051.00641897,81.23973114,289.88026702,490.75271807999997,593.67986164,928.9770383400001,1810.71041249,271.71919207,1473.64060027
2005-01-01,58535.086643049974,1378.91690187,1494.9529212300001,4129.44249880999,669.52460105,0.31105599,15169.99739696,18922.004783739998,1938.929835579999,7063.06676808,81.91619413,430.66555963,1273.13474771,108.08095612999999,297.50436261,454.39848525,597.18391626,951.16754501,1852.7230992,299.40454833,1421.76046548
2005-07-01,60904.48590353999,1380.23476837,1482.3780758899998,4208.76614983999,633.68208198,0.69343502,16022.48087875,18381.28072386,2502.3121066900003,8561.32573285,75.81440783,550.92329398,1224.7902162699997,139.11668151,304.28496044,571.97579404,488.32527257000004,997.6031631799999,1890.0124211,179.89990446000002,1308.58583491
2006-01-01,62925.530238439984,1240.59266865,1584.6123553800007,4502.93542688999,728.7467857000001,0.91091899,16532.05759137,18968.08362585,2461.18263801,9079.92670738999,77.86098670000001,689.48066831,1408.97308725,159.6846241,311.62026751999997,536.85298471,495.01381893999996,876.5376923499998,1964.97825059,189.05110844,1116.4280313
2006-07-01,66478.70855650998,1272.2654812600001,1667.56757856,4815.61954213999,724.08333739,1.05098687,17192.65874925,20177.245080049997,2658.38206221,9510.55803922999,81.93397619000001,786.4517963,1468.9683742000002,165.96151217,377.82975432,600.19528196,579.47777635,969.4434963700002,2120.69988844,172.24119192,1136.07465133
2007-01-01,70738.47843694998,1349.21632791,1783.3721323599998,5608.9531813799895,709.36614035,1.33168058,17597.33916571,21524.112823999996,3230.54141422,9748.333949599999,84.77304471,830.55793541,1668.7681936099998,160.48522755,399.40882376,608.97999769,648.609270219999,943.3022626700001,2392.3217423,246.06948358,1202.6356393400001
2007-07-01,75888.91016025998,1373.72466749,1976.7264422800004,5984.645414539989,786.23206273,1.40085128,19193.14184434,22877.742019939997,3247.88332683,10750.199147059999,93.33320794,880.4357137100001,1658.44253043,166.74673712,425.37836042000004,697.98775783,755.84922385,1042.5239015099999,2390.8799191599996,258.10191547,1327.5351163300002
2008-01-01,84904.97081018999,1498.2198025100001,2353.9008752,6914.257423970001,895.49214148,1.38987862,20051.98999434,27113.080206949995,3712.67749722,11799.50779462,105.2354028,950.7113331899999,1837.41527651,202.70273259,429.39099514,747.5539036800001,869.24763039,1098.18935232,2671.52747444,279.13552368,1373.34557054
2008-07-01,79150.59068710997,1409.806432619999,2200.99787174,6907.531688499999,825.93958651,1.3254526899999999,18580.692273589997,25541.515902599996,3588.4629206299996,10320.68286669,100.59462712999999,823.30005954,1856.3601392100002,222.09625066,400.91131868,634.5787812,874.86966627,1038.4113171699998,2617.91926384,273.24245851,931.35180933
2009-01-01,73934.51406056,1255.72613299,2155.58687859,6528.8103440899995,731.58407852,1.53763758,18312.83492795,23280.675311339997,3344.341235099999,8710.589677089989,97.96771864000002,830.2090005399999,1869.1248572099998,195.94805318,367.08131163999997,608.96875415,873.73853102,962.51620671,2687.89096725,271.05026204999996,848.3321749199999
2009-07-01,77713.66257182998,1317.3398796000001,2365.53450695,6925.718231929999,919.97184135,2.31388492,18578.85527875,24065.261121609998,3366.0139185999997,10218.65592028,110.28877779,831.13127366,1632.4893164200003,289.28147249,376.44804826000006,567.2644798399999,862.30481973,1013.85124024,3152.2293655,270.16471534,848.54447857
2010-01-01,80363.15891078002,1365.708852029999,2358.33929644,8010.587638370009,856.20886582,0.42207358,19461.946913929998,24945.565915500003,3170.72908879,10378.397267190001,120.31335611,790.750569380001,1739.82705968,287.73587397999995,492.12512234999997,539.93415916,876.565171530001,1045.7091671399999,2819.19141265,273.62844676,829.47266039
2010-07-01,85097.45279069532,1293.0539783699999,2538.1441926099997,8541.82413291001,873.6416478599999,0.45938581,20203.273810609997,27050.19637549,3510.6772913000004,10727.07527466,134.63261813999998,808.4303907999999,1701.365314125308,321.07798931,453.00164767,585.7263779199999,922.3275867,1070.1854104,3253.41948082,276.3711823,832.56870289
2011-01-01,88045.21193317998,1276.44396146,2510.16074086,9897.20020319001,783.90824018,0.28215879000000005,19978.719123069997,28150.093524870004,3962.3095425000006,10507.03773586,153.75872396,877.02232755,2026.1730097600002,314.87020130999997,439.80538466,583.0740355500001,846.55809456,1109.8234364300001,3466.4123916,284.01144537,877.54765165
2011-07-01,91762.54300679003,1281.335213829999,2594.9430308,10099.765640620011,851.77258746,0.42242880000000005,21319.64427008,29940.019373429997,4051.0884777600004,10600.12950475,153.64245277,822.14169839,1816.67062356,382.57241792,440.01266362999996,600.23167399,811.87386044,1241.99025938,3834.69007264,164.41328577000002,755.18347077
2012-01-01,95152.92382666998,1218.14029984,2554.06193335,10585.16489135001,917.24435576,1.09253096,21775.413850290002,31847.667842550003,4639.65916771,10183.2286544,135.21602451,749.0056236,1909.9581429099999,476.46972545999995,434.4628417,562.5308193799999,670.41288622,1375.7697940599999,4188.5734017800005,159.3430326,769.50800824
2012-07-01,98208.13789232998,1151.0897602100001,2575.0430170100003,10939.21190333002,962.50383726,0.7400931799999999,24062.626335459998,31335.028780419998,5091.684279229999,10269.743877949999,142.22413722,828.9143658,2040.9760290999998,414.22541094,418.67166501,645.51057272,602.7169902,1460.7307621300001,4448.05919808,157.75122239,660.68565469
2013-01-01,98069.33554098003,1120.923687259999,2305.53228824,10458.516117330011,835.88667125,0.59891742,24944.56269217,31351.173027730005,5072.350047439999,9998.765351469998,135.6679538,879.28975492,2009.16643957,405.12709486,417.85315811,492.0819152099999,634.1437822299999,1462.2430988200003,4666.71935419,157.38179896,721.35239
2013-07-01,87906.97812598001,1031.077750349999,2133.5294327,9554.596707680019,985.4825355400001,0.48372624000000003,20314.54567568,29482.103510020002,4135.386188239999,9156.39658064,151.21709572,758.54797727,1874.20463044,387.77400183,369.30121627999995,542.4997412299999,546.85960042,1224.6410223800003,4529.94742704,150.24367125999999,578.13963502
2014-01-01,82730.88173283999,879.6040846899989,1877.33555919,8844.99349543001,782.40335079,0.39616720000000005,20413.3500955,27541.726258540002,3854.274328549999,8015.53024591,135.25821811,764.88041593,1905.32648931,284.93062263,324.92211383,399.49936157,481.79598123000005,1039.78096748,4684.0165992,147.28909306,353.56828469
2014-07-01,89938.64256404001,944.77892054,1984.6003398399998,9177.43059925002,947.38376928,0.23585188,20881.51755112,30879.072988409996,4736.022294309999,8851.93150512001,146.81879422,895.22657664,1975.50465618,282.73265327,394.39472247,453.05102727999997,480.50802658,1225.11891287,5108.14223052,167.68183896,406.48930529999996
